entubada",% Viviendas SIN sanitario ni drenaje,% Viviendas SIN Energia electrica,% Viviendas con menor disponibilidad de internet,% Viviendas con menor disponibilidad de computadora,Bando de Policía y Gobierno,"Personal municipal total por cada 1,000 habitantes",Participación de las mujeres en puestos de mando medio y superior en la administración pública municipal,Tasa de observaciones documentadas en las auditorías internas,Tasa de crecimiento real anual de la recaudación del impuesto predial,Tasa de crecimiento de asentamientos humanos en zonas de riesgo.,"Situación de limpia, recolección, traslado, tratamiento y disposición final de residuos",Situación de Mercados (centrales de abasto) y panteones,Tasa de abatimiento de calles sin revestimiento(revisión anual),Tasa de abatimiento de la carencia de servicio de agua entubada en las viviendas,Acciones del municipio para disminuir la vulnerabilidad ante el cambio climático
13048,Pachuca de Soto,,,,-3.5,,,,,,,,,,,,,,,,,,,,-163519,,-1.1,58.4,18.2,,2,122,,,,,,,,,,En rezago,,En rezago,,,,En rezago,En rezago,
13049,Pisaflores,,,,,,,Alto,,,,,,,,0.5,-32.046.146,0,,0.6,,,,0,,,0.0,85.4,,,,,,40.5,,,,,,,En rezago,En rezago,En rezago,En rezago,En rezago,,,En rezago,En rezago,En rezago
13050,Progreso de Obregón,,,,,,,,,,,,,,,,-12.689.819,0,,,,,,0,,,0.0,,,,,,,,,,,,,,En rezago,,,En rezago,En rezago,,En rezago,En rezago,En rezago,
13051,Mineral de la Reforma,,,,-1.7,,,,,,,,,,,0.1,,,,0.4,,,,0,-18660,,-1.1,23.1,,7,1,218,,,1.7,,,,,,,,,,En rezago,,,,En rezago,
13052,San Agustín Tlaxiaca,,,,-4.7,,,,,,0.7,,,,,0.3,,0,,0.7,,,,0,-7700,,-0.2,,,,,,,,,,,,,,,,,,,,,,,
13053,San Bartolo Tutotepec,,,,,,Alto,Muy Alto,,,,,,,,,-28.250.184,,,,,,,,,,0.0,44.4,,3,,,3,46.0,,,,9.86,3.4,,,,En rezago,En rezago,,,,En rezago,En rezago,
13054,San Salvador,,,,-5.4,,,,,,,,,,,0.3,,0,,0.6,,,,0,,,0.0,,,,,,,,,,,,,En rezago,,En rezago,,En rezago,En rezago,,En rezago,En rezago,En rezago,
13055,Santiago de Anaya,,,,,,,,,,,,,,12.3,0.9,-2.182.334,0,,0.8,,,,,-1000,,0.0,,,,,,,,1.5,,,,,,,,,,En rezago,,,,,
13056,Santiago Tulantepec de Lugo Guerrero,,,,-5.2,,,,,6.3,,,,,,,,-12205,,0.7,,-25.6,0.19,,-6004,,0.0,36.2,4.4,6,1,15,,,,,,,,,,,En rezago,En rezago,En rezago,,,En rezago,En rezago,
13057,Singuilucan,,,,,,,,,,,,,,15.5,0.5,-6.604.147,0,,0.7,,-10.6,,0,-400,,-0.2,,,5,1,,,35.3,,,,,5.1,,En rezago,En rezago,En rezago,En rezago,En rezago,,,En rezago,En rezago,
13058,Tasquillo,,,,-5.8,,,,,,,,,,,0.3,,-2290,,0.8,,,,0,-18000,,0.0,,,,,,,,,,,,,,En rezago,En rezago,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13059,Tecozautla,,,,,,,,,,,,,,,0.4,-13.154.433,99,,0.6,,,,0,-5100,,-1.3,,,,,,,,,,,8.56,4.7,,,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13060,Tenango de Doria,,,,,,,,,,,,,,,0.6,-4.570.645,,,0.9,,,,0,-2900,,0.0,56.3,,,,,1,38.2,,,,,4.3,,,,,En rezago,,En rezago,,,,En rezago
13061,Tepeapulco,,,,-5.3,,,,,,,,,,,,-26.669.037,,,,,,,,-31600,,0.0,,,,,15,,,1.5,,,,,,,En rezago,,,En rezago,En rezago,En rezago,En rezago,,En rezago
13062,Tepehuacán de Guerrero,,,,,,Alto,Alto,,,1.4,,,,,0.6,-28.813.831,0,,0.9,,,,,-4291,,0.0,,,,,,,49.4,,,,5.55,3.7,,En rezago,En rezago,,,,,,,,
13063,Tepeji del Río de Ocampo,,,,,,,,,,,,,,,0.6,,,,0.9,,,,,,,-0.5,53.7,7.2,10,,84,,,,,,,,,,En rezago,,,,,,,,
13064,Tepetitlán,,,,,,,,,,,,,,,,-923.361,0,18.81,,,,,,-1380,,0.0,,,,,,,,,,,,,,En rezago,,En rezago,,En rezago,En rezago,En rezago,En rezago,En rezago,
13065,Tetepango,,,,,,,,,,,,,,7.6,0.3,,0,,0.5,,,,0,,,0.0,,,2,,,,,,,,,,En rezago,,,,En rezago,En rezago,,,En rezago,En rezago,
13066,Villa de Tezontepec,,,,,,,,,,,,,,19.2,0.5,,0,,0.7,,,,,-2000,,0.3,39.1,,1,,,,,,,,,,,En rezago,,En rezago,,En rezago,,,,,
13067,Tezontepec de Aldama,,,-0.02,,,,,,,,,,,,0.8,,,,0.6,,,,0,-22634,,0.0,,,,,,,,,,,,,,,,En rezago,,En rezago,,,En rezago,,En rezago
13068,Tianguistengo,,,,,,,Alto,,23.7,3.8,,,,,0.3,-41.841.004,0,,,,,,0,-2000,,0.0,,,,,,,44.2,,,,3.35,2.7,,En rezago,,En rezago,En rezago,En rezago,,,,,
13069,Tizayuca,,,,-4.6,,,,,,,,7.4,,,0.7,,,18.20,0.7,,,,,-72000,,,54.3,10.6,,1,390,,,0.9,,,,,,,En rezago,,,,,,,,
13070,Tlahuelilpan,,,,,,,,,,,,,,5.4,0.5,0,0,,0.9,,,,0,-5000,,0.0,,,,,21,,,1.1,,,,,,En rezago,,,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13071,Tlahuiltepa,,,-0.03,,,,Alto,,,,,,,,,-99.053.489,0,,,,-15.6,,0,,-4.4,0.0,,,,,,,,,,,07.04,,,En rezago,,,,En rezago,,,En rezago,En rezago,
13072,Tlanalapa,,,-1.12,,,,,,,,,,,,0.2,-899.847,0,,0.4,,,,0,,,0.0,700.0,18.0,,,20,1,,1.0,,,,,,En rezago,En rezago,En rezago,En rezago,En rezago,,,En rezago,En rezago,En rezago
13073,Tlanchinol,,,-0.50,,2.9,,,,,,,,5.3,,,-23.858.756,,18.42,,,,,0,-1000,-0.9,0.0,,,,,21,,45.1,,,,7.22,5.4,,,,En rezago,En rezago,En rezago,,En rezago,,,
13074,Tlaxcoapan,,,,,,,,,,,,,,6.2,,,,,,,,,0,-5610,,0.0,214.5,26.0,4,,,23,,,,,,,,,En rezago,En rezago,En rezago,En rezago,,,,En rezago,En rezago
13075,Tolcayuca,,,,,,,,,,,,,,,,,0,,0.9,,,0.13,0,,-17.6,0.0,55.6,,3,,,,,1.4,,,,,,,,En rezago,En rezago,,,,,,En rezago
13076,Tula de Allende,-34.6,-34.6,,,,,,,,,,,,,,-18.243.895,,,,,,,,-10000,,,25.0,5.4,,1,,,,,,,,,,,,,En rezago,,,,En rezago,,
13077,Tulancingo de Bravo,,,,,,,,,,,,,,,,,,,,,,,,-560,-9.6,0.3,19.1,4.1,,,,,,,,,,,,,,,,En rezago,,En rezago,,,
13078,Xochiatipan,,,-0.07,,,Alto,Muy Alto,,,,,23.6,,,0.3,-21.905.805,0,,0.7,,,,,-1100,,0.0,,,,,,,49.7,,,,0.61,1.5,,,,En rezago,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13079,Xochicoatlán,,,,,,,,,,,,,,,0.1,-5.702.067,-253,19.02,,,,,0,-3000,,0.0,43.3,,,,,,,,,,5.31,5.5,,En rezago,En rezago,,En rezago,,,,En rezago,En rezago,
13080,Yahualica,,,-0.11,,,Alto,Alto,,,,,,,,0.5,-8.105.698,0,,0.5,,,,,,,0.0,102.4,,,,,1,46.7,,,,5.47,4.7,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13081,Zacualtipán de Ángeles,,,,,,,,,,,,,,,,-94.351.985,,,0.9,,,,,,,,26.3,,,,27,12,36.8,,,,,,,,,En rezago,,En rezago,,,En rezago,En rezago,
13082,Zapotlan de Júarez,,,,,,,,,,,,,,8.6,,-4.663.527,-938,,,,,,0,,,,60.2,,4,,,3,,,,,,,,En rezago,En rezago,,,,,,,En rezago,
13083,Zempoala,,,,,,,,,,,,,,,0.1,-8.634.684,0,,0.2,,,,,,,0.0,57.8,6.3,7,,89,,,,,,,,,,En rezago,En rezago,,,En rezago,,,,En rezago
13084,Zimapán,,,,,,,,,,,,,,,,,-1231,,,,,,,,,0.0,87.7,5.7,,1,62,,,,,,,,,En rezago,,,,En rezago,En rezago,En rezago,,,
