"NOM_MUN","Región","cve_mun","Agencias.de.cobranza.y.comunicaciones","Asociaciones.y.organizaciones.civiles","Comunicaciones.y.transportes.paqueteria","Consultorio.y.otros.servicios.medicos","Cultura.esparcimiento.y.deporte","Educacion.y.otros.sdervicios.educacion","Hospedaje","Servicios.de.belleza.y.funerarios","Servicios.y.mantenimiento.a.automoviles.diversos","Alimentos.y.bebidas","Alquileres.diversos","Banca.y.seguros","Comercio.minorista.diverso","Explotacion.de.animales","Industria.alimentaria.y.de.bebidas","Manufactura.metal.y.herreria","Maquiladoras.y.textileras","Minería.No.Metálicos","Organismos.operadores.de.agua","Servicios.de.publicidad","Tortillerías.y.panificadoras","Construccion","Fabricación.de.muebles","Fabricas.diversas","Industria.del.papel","Fabricación.de.material.de.construcción","Fertilizantes.y.agricultura","Generación..transmision..distribucion.energía.eléctrica","Industria.Química","Petroquimica","Turismo","Fabricación.de.carrocerías..y.equipo.de.transporte.etc","Fabricación.de.maquinaria","Fabricación.de.equipo.electrónico.y.eléctrico","Minería.Metálicos"
"Tolcayuca","Región Tizayuca",75,0.455397376,2.884665045,0.178585406,0.711561884,0.282424879,3.282270444,0.016776516,1.814831263,1.208753068,6.861564569,0.539745295,0.048142568,23.10271423,NA,0.070382185,0.331153786,1.037290138,NA,0.233238321,0.07074832,2.717852137,NA,72.09338118,0.032044159,124.0235078,0.003977593,NA,NA,NA,NA,NA,0.56824547,NA,NA,NA
"Tula de Allende","Región Tula",76,2.103648934,38.13982566,101.1351108,35.97261589,9.476840065,35.61232159,6.681203042,13.69253471,22.39771122,55.8304853,3.286070689,24.88100053,187.4082704,0.010443261,2.290485975,1.168720246,0.351786573,7.956976097,27.93863672,9.44380926,9.968767787,13.6519792,1.781711689,0.136213072,0.428295161,6.712223078,NA,NA,0.044317364,0.035201816,0.429888849,0.002981575,0.00230115,NA,NA
"Tulancingo de Bravo","Región Tulancingo",77,5.242335023,34.95905103,24.93815151,49.5817407,8.992898677,66.9684399,2.69644081,29.79625166,67.94948957,82.15136432,7.81031839,12.91158432,424.549172,0.048866491,16.78806724,2.250180552,37.9598455,0.033217299,1.615226405,4.271585209,13.35647583,3.226663438,5.128966342,1.309218055,1.143876227,1.575612115,NA,0.14436128,0.388079895,NA,2.055110751,0.596727708,1.742184374,0.009420484,NA
"Villa de Tezontepec","Región Tizayuca",66,0.702098192,1.345990722,1.434951687,0.863870807,1.036992647,3.085244182,0.004985244,1.314053702,1.232592253,6.687648135,0.305865786,0.17192461,14.99453975,NA,5.512742355,9.840436243,0.352443609,2.354173656,0.063412405,0.189209644,1.011364227,NA,0.07903041,3.009459106,0.066734885,16.08787103,NA,NA,0.140326357,NA,NA,1.484983118,NA,78.43261749,NA
"Xochiatipan","Región Huejutla",78,0.746240622,7.685891187,0.025273603,0.12564834,0.079930001,2.248466634,NA,0.020796167,0.01407911,0.835211858,0.013261345,0.009273507,3.385389244,NA,1.783811227,0.008538062,0.004407119,0.214600717,0.849295849,0.015644344,2.019993203,NA,0.367562195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xochicoatlán","Región Zacualtipán",79,0.023721253,9.003420624,0.039366062,0.408331854,0.07003049,0.957718737,0.031459468,0.072882061,NA,0.199196095,0.185902359,0.014444378,1.228310195,NA,NA,0.013298851,NA,NA,0.029764346,0.024367567,0.104011019,NA,0.022900536,NA,0.046792407,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.80272464
"Yahualica","Región Huejutla",80,0.114588957,6.735842416,0.011885217,0.123281644,0.00528582,1.574260901,NA,0.061122808,0.001655218,0.240561413,0.083843694,0.069775663,5.230035255,0.192942405,0.317674341,0.100378171,90.81791761,0.025229646,0.399391647,0.029427767,3.628953752,NA,0.442497456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zacualtipán de Ángeles","Región Zacualtipán",81,1.956156342,5.476584685,0.196186648,4.710984974,0.176859828,9.626321442,0.333113108,4.660152202,4.702138376,6.04201561,0.454704457,1.292475459,47.61350922,0.003659704,0.284803833,0.839645871,437.7493019,NA,0.068180436,0.061539533,4.560357591,0.01039362,0.426087509,0.022023275,0.107186185,0.001537715,NA,3.764279264,NA,NA,NA,NA,NA,NA,NA
"Zapotlán de Juárez","Región Pachuca",82,2.703566699,5.454424321,0.478968073,1.613767616,0.176046096,2.649902359,0.012653497,2.931432226,2.599328612,7.146491248,3.960424099,0.085371168,39.5393248,NA,1.08906844,7.322793349,22.28147054,NA,0.002992923,0.144020579,2.876220871,0.001508264,1.805348021,0.119352814,0.075282596,0.012000219,NA,NA,0.257336443,NA,NA,NA,0.629314838,NA,NA
"Zempoala","Región Tizayuca",83,0.308565889,5.369221663,6.52429385,1.195192311,0.551072217,7.451563579,0.045469392,2.376706974,1.391135929,6.269922303,0.186590782,0.130480806,33.60454249,NA,0.148513114,0.347184041,0.992150108,9.602821144,0.11949827,0.055030058,1.86353718,18.65385623,0.444996185,79.61854721,0.004226912,0.010780471,NA,NA,0.793730612,NA,NA,21.75756875,NA,NA,NA
"Zimapán","Región Ixmiquilpan",84,0.560107016,21.33548075,7.232690732,4.757203151,0.855536525,3.956497175,0.936472418,2.521752729,3.079238295,6.650267963,0.228325953,1.201849444,33.25549751,6.358133684,0.063205716,0.28182876,0.105562324,42.00695199,3.011924139,0.070836294,6.857929131,0.000981079,0.12132683,0.001746796,0.076514117,0.124892432,NA,0.180114057,1.39066515,NA,NA,NA,NA,NA,885.8562738
